"Артикул";"Бренд";"Коллекция";"Производство";"Цвет";"Материал";"Основа";"Ширина рулона (м)";"Длина рулона";"Рисунок";"Цена";"Рулон";"img"
"8680/22";"Sangiorgio";"Romeo & Giulietta";"Италия";"Ванильные, Бежевые, Кремовые";"Текстильные";"Флизелин";"0,7, Узкие";"10,05";"Лилии, Орнамент, Узор";"2500";"Рулон";"/upload/resize_cache/iblock/3c1/480_480_240cd750bba9870f18aada2478b24840a/3c1eea331be8ee60e0bc4ff87cf88333.png"
"8680/21";"Sangiorgio";"Romeo & Giulietta";"Италия";"Коралловые, Серебристые, Оранжевые";"Текстильные";"Флизелин";"0,7, Узкие";"10,05";"Лилии, Орнамент, Узор";"2500";"Рулон";"/upload/resize_cache/iblock/1e7/480_480_240cd750bba9870f18aada2478b24840a/1e7499111bf2938c47e40e2f6bb429d5.png"
"8690/1";"Sangiorgio";"Romeo & Giulietta";"Италия";"Бежевые, Серебристые, Песочные";"Текстильные";"Флизелин";"0,7, Узкие";"10,05";"Дамаск, Орнамент, Узор";"390";"Рулон";"/upload/resize_cache/iblock/386/480_480_240cd750bba9870f18aada2478b24840a/3869847252b359dade67fc6c7ab395f3.png"
"8690/3";"Sangiorgio";"Romeo & Giulietta";"Италия";"Жемчужные, Бронзовые, Бежевые";"Текстильные";"Флизелин";"0,7, Узкие";"10,05";"Вензеля, Дамаск, Растительность, Узор, Цветы";"390";"Рулон";"/upload/resize_cache/iblock/93c/480_480_240cd750bba9870f18aada2478b24840a/93cd775f813e246e3cb251e99abc7821.png"
"8690/5";"Sangiorgio";"Romeo & Giulietta";"Италия";"Мятные, Зелёные, Болотные";"Текстильные";"Флизелин";"0,7, Узкие";"10,05";"Вензеля, Дамаск, Растительность, Узор, Цветы";"390";"Рулон";"/upload/resize_cache/iblock/2d9/480_480_240cd750bba9870f18aada2478b24840a/2d9525ed7bb1c3e55e62ccbc096bebf9.png"
"8701-302";"Sangiorgio";"Anthea";"Италия";"Песочные, Жемчужные, Серебристые";"Текстильные";"Флизелин";"0,7, Узкие";"10,05";"Дамаск, Узор, Цветы";"14900";"Рулон";"/upload/resize_cache/iblock/17a/480_480_240cd750bba9870f18aada2478b24840a/17acd71828c9bc5b594f035c4cb72d32.png"
"8690/4";"Sangiorgio";"Romeo & Giulietta";"Италия";"Синие, Песочные, Морская волна";"Текстильные";"Флизелин";"0,7, Узкие";"10,05";"Вензеля, Дамаск, Растительность, Узор, Цветы";"390";"Рулон";"/upload/resize_cache/iblock/9fb/480_480_240cd750bba9870f18aada2478b24840a/9fb2385c6f3b65d532c1a5c202f71da3.png"
"8701-3011";"Sangiorgio";"Anthea";"Италия";"Синие, Васильковые, Лазурные";"Текстильные";"Флизелин";"0,7, Узкие";"10,05";"Дамаск, Узор, Цветы";"14900";"Рулон";"/upload/resize_cache/iblock/d44/480_480_240cd750bba9870f18aada2478b24840a/d442f85cbc3e25ffd0764b45647e7fe9.png"
"8701-301";"Sangiorgio";"Anthea";"Италия";"Серые, Серебристые";"Текстильные";"Флизелин";"0,7, Узкие";"10,05";"Дамаск, Узор, Цветы";"14900";"Рулон";"/upload/resize_cache/iblock/b95/480_480_240cd750bba9870f18aada2478b24840a/b95ea78b6250d198006a89157e226236.png"
"8701-3010";"Sangiorgio";"Anthea";"Италия";"Лавандовые, Голубые";"Текстильные";"Флизелин";"0,7, Узкие";"10,05";"Дамаск, Узор, Цветы";"14900";"Рулон";"/upload/resize_cache/iblock/dde/480_480_240cd750bba9870f18aada2478b24840a/dde2c7b0da25abf28d87b919c94a14e0.png"
"8701-304";"Sangiorgio";"Anthea";"Италия";"Бронзовые, Венге, Кремовые";"Текстильные";"Флизелин";"0,7, Узкие";"10,05";"Дамаск, Узор, Цветы";"14900";"Рулон";"/upload/resize_cache/iblock/7d1/480_480_240cd750bba9870f18aada2478b24840a/7d1fea843925e3986369d657e1d0f07e.png"
"8701-303";"Sangiorgio";"Anthea";"Италия";"Шоколадные, Жемчужные, Ванильные";"Текстильные";"Флизелин";"0,7, Узкие";"10,05";"Дамаск, Узор, Цветы";"14900";"Рулон";"/upload/resize_cache/iblock/323/480_480_240cd750bba9870f18aada2478b24840a/3232aaf3724d46fb8317aed911b5562a.png"
"8701-308";"Sangiorgio";"Anthea";"Италия";"Серебристые, Серые";"Текстильные";"Флизелин";"0,7, Узкие";"10,05";"Дамаск, Узор, Цветы";"14900";"Рулон";"/upload/resize_cache/iblock/f3c/480_480_240cd750bba9870f18aada2478b24840a/f3cd9c9277ce2b8e94bd7aae88a4c84c.png"
"8701-306";"Sangiorgio";"Anthea";"Италия";"Шоколадные, Коричневые, Венге";"Текстильные";"Флизелин";"0,7, Узкие";"10,05";"Дамаск, Узор, Цветы";"14900";"Рулон";"/upload/resize_cache/iblock/c1d/480_480_240cd750bba9870f18aada2478b24840a/c1d78346a69aa30f626ea6c91259b842.png"
"8701-305";"Sangiorgio";"Anthea";"Италия";"Серые, Песочные, Ванильные";"Текстильные";"Флизелин";"0,7, Узкие";"10,05";"Дамаск, Узор, Цветы";"14900";"Рулон";"/upload/resize_cache/iblock/122/480_480_240cd750bba9870f18aada2478b24840a/1223862485c0059f225b6ea395f35ec0.png"
"8712/10";"Sangiorgio";"Bellagio";;;;;;;;;"Рулон";"/upload/resize_cache/iblock/143/480_480_240cd750bba9870f18aada2478b24840a/1435b8e97c1aefecb298c67dd78ec775.png"
"8712/1";"Sangiorgio";"Bellagio";;;;;;;;;"Рулон";"/upload/resize_cache/iblock/c03/480_480_240cd750bba9870f18aada2478b24840a/c03a5791934667a41e02d64812bbd430.png"
"8712/2";"Sangiorgio";"Bellagio";;;;;;;;;"Рулон";"/upload/resize_cache/iblock/2dd/480_480_240cd750bba9870f18aada2478b24840a/2dd1eb4d92c03cefc7d227f6cf0c1b8c.png"
"8712/3";"Sangiorgio";"Bellagio";;;;;;;;;"Рулон";"/upload/resize_cache/iblock/89d/480_480_240cd750bba9870f18aada2478b24840a/89d01dabeb17b911c7a4f2cc60203edb.png"
"8712/4";"Sangiorgio";"Bellagio";;;;;;;;;"Рулон";"/upload/resize_cache/iblock/52f/480_480_240cd750bba9870f18aada2478b24840a/52f4a79e70f940c623fc0e2f9a4c575c.png"
"8712/5";"Sangiorgio";"Bellagio";;;;;;;;;"Рулон";"/upload/resize_cache/iblock/031/480_480_240cd750bba9870f18aada2478b24840a/0318a06fe76060669bbeecd851102a19.png"
